Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ForgotPasswordTS,Firefox 60.0,,2018-06-07 17:28:41,2018-06-07 17:34:23,5m - 42.504s,FAILED
,,,,,,
Test Cases/ForgotPassword/T1_correctemail,Firefox 60.0,,2018-06-07 17:28:41,2018-06-07 17:29:39,57.532s,PASSED
openBrowser,Firefox 60.0,,2018-06-07 17:28:42,2018-06-07 17:28:52,10.825s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-07 17:28:52,2018-06-07 17:29:31,38.319s,PASSED
setText,Firefox 60.0,,2018-06-07 17:29:31,2018-06-07 17:29:31,0.198s,PASSED
click,Firefox 60.0,,2018-06-07 17:29:31,2018-06-07 17:29:31,0.108s,PASSED
click,Firefox 60.0,,2018-06-07 17:29:31,2018-06-07 17:29:39,7.484s,PASSED
verifyElementPresent,Firefox 60.0,,2018-06-07 17:29:39,2018-06-07 17:29:39,0.044s,PASSED
closeBrowser,Firefox 60.0,,2018-06-07 17:29:39,2018-06-07 17:29:39,0.277s,PASSED
,,,,,,
Test Cases/ForgotPassword/T2_unregisteredmail,Firefox 60.0,,2018-06-07 17:29:39,2018-06-07 17:30:35,56.121s,PASSED
openBrowser,Firefox 60.0,,2018-06-07 17:29:39,2018-06-07 17:29:44,5.029s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-07 17:29:44,2018-06-07 17:30:30,46.429s,PASSED
setText,Firefox 60.0,,2018-06-07 17:30:30,2018-06-07 17:30:31,0.160s,PASSED
click,Firefox 60.0,,2018-06-07 17:30:31,2018-06-07 17:30:31,0.167s,PASSED
click,Firefox 60.0,,2018-06-07 17:30:31,2018-06-07 17:30:35,3.903s,PASSED
verifyElementPresent,Firefox 60.0,,2018-06-07 17:30:35,2018-06-07 17:30:35,0.023s,PASSED
closeBrowser,Firefox 60.0,,2018-06-07 17:30:35,2018-06-07 17:30:35,0.267s,PASSED
,,,,,,
Test Cases/ForgotPassword/T3_registeredmail_invalidcode,Firefox 60.0,,2018-06-07 17:30:35,2018-06-07 17:31:38,1m - 3.275s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 17:30:35,2018-06-07 17:30:42,6.417s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-07 17:30:42,2018-06-07 17:31:38,56.075s,PASSED
setText,Firefox 60.0,,2018-06-07 17:31:38,2018-06-07 17:31:38,0.150s,PASSED
click,Firefox 60.0,,2018-06-07 17:31:38,2018-06-07 17:31:38,0.104s,PASSED
setText,Firefox 60.0,,2018-06-07 17:31:38,2018-06-07 17:31:38,0.289s,FAILED
,,,,,,
Test Cases/ForgotPassword/T4_registeredmail_validcode,Firefox 60.0,,2018-06-07 17:31:38,2018-06-07 17:34:23,2m - 44.809s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 17:31:39,2018-06-07 17:31:46,6.990s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-07 17:31:46,2018-06-07 17:32:16,30.074s,PASSED
setText,Firefox 60.0,,2018-06-07 17:32:16,2018-06-07 17:32:16,0.165s,PASSED
click,Firefox 60.0,,2018-06-07 17:32:16,2018-06-07 17:32:16,0.114s,PASSED
click,Firefox 60.0,,2018-06-07 17:32:16,2018-06-07 17:32:19,2.876s,PASSED
setText,Firefox 60.0,,2018-06-07 17:32:19,2018-06-07 17:32:19,0.159s,PASSED
setText,Firefox 60.0,,2018-06-07 17:32:19,2018-06-07 17:32:19,0.133s,PASSED
click,Firefox 60.0,,2018-06-07 17:32:19,2018-06-07 17:32:19,0.081s,PASSED
click,Firefox 60.0,,2018-06-07 17:32:19,2018-06-07 17:34:23,2m - 3.923s,FAILED
