Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTS,Firefox 60.0,,2018-06-07 14:50:02,2018-06-07 14:52:15,2m - 13.500s,FAILED
,,,,,,
Test Cases/Login/T1_nodetails,Firefox 60.0,,2018-06-07 14:50:02,2018-06-07 14:51:51,1m - 48.855s,PASSED
openBrowser,Firefox 60.0,,2018-06-07 14:50:02,2018-06-07 14:50:07,4.914s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-07 14:50:07,2018-06-07 14:51:50,1m - 42.978s,PASSED
click,Firefox 60.0,,2018-06-07 14:51:50,2018-06-07 14:51:50,0.133s,PASSED
click,Firefox 60.0,,2018-06-07 14:51:50,2018-06-07 14:51:51,0.266s,PASSED
verifyElementPresent,Firefox 60.0,,2018-06-07 14:51:51,2018-06-07 14:51:51,0.056s,PASSED
closeBrowser,Firefox 60.0,,2018-06-07 14:51:51,2018-06-07 14:51:51,0.248s,PASSED
,,,,,,
Test Cases/Login/T2_invalidemail,Firefox 60.0,,2018-06-07 14:51:51,2018-06-07 14:51:59,8.594s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:51:51,2018-06-07 14:51:55,4.256s,PASSED
setText,Firefox 60.0,,2018-06-07 14:51:55,2018-06-07 14:51:59,4.182s,FAILED
,,,,,,
Test Cases/Login/T3_unregisteredemail,Firefox 60.0,,2018-06-07 14:51:59,2018-06-07 14:52:00,0.157s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:52:00,2018-06-07 14:52:00,0.055s,FAILED
,,,,,,
Test Cases/Login/T4_registeredemail_nopassword,Firefox 60.0,,2018-06-07 14:52:00,2018-06-07 14:52:09,9.104s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:52:00,2018-06-07 14:52:02,2.801s,PASSED
setText,Firefox 60.0,,2018-06-07 14:52:02,2018-06-07 14:52:09,6.191s,FAILED
,,,,,,
Test Cases/Login/T5_registeredemail_shortpassword,Firefox 60.0,,2018-06-07 14:52:09,2018-06-07 14:52:09,0.194s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:52:09,2018-06-07 14:52:09,0.056s,FAILED
,,,,,,
Test Cases/Login/T6_registeredemail_wrongpassword,Firefox 60.0,,2018-06-07 14:52:09,2018-06-07 14:52:15,6.004s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:52:09,2018-06-07 14:52:12,2.746s,PASSED
setText,Firefox 60.0,,2018-06-07 14:52:12,2018-06-07 14:52:15,3.136s,FAILED
,,,,,,
Test Cases/Login/T7_correctdetails,Firefox 60.0,,2018-06-07 14:52:15,2018-06-07 14:52:15,0.204s,FAILED
openBrowser,Firefox 60.0,,2018-06-07 14:52:15,2018-06-07 14:52:15,0.055s,FAILED
